CodMun;Reeleito;sexo;idade;instrução;partido
1100015;Não;Masculino;32;Ensino médio (2º Grau) completo;PP
1100023;Não;Masculino;37;Pós-graduação;PMDB
1100031;Sim;Masculino;56;Ensino fundamental (1º Grau) completo;PMDB
1100049;Não;Feminino;49;Ensino superior completo ;PMDB
1100056;Sim;Masculino;58;Pós-graduação;PP
1100064;Não;Masculino;52;Pós-graduação;PSB
1100072;Não;Masculino;40;Ensino superior completo ;PDT
1100080;Não;Masculino;38;Ensino médio (2º Grau) incompleto;PMN
1100098;Não;Masculino;60;Ensino médio (2º Grau) completo;PP
1100106;Não;Masculino;43;Ensino médio (2º Grau) completo;DEM
1100114;Não;Masculino;24;Ensino superior incompleto ;PSDB
1100122;Sim;Masculino;58;Ensino superior completo ;PSB
1100130;Não;Masculino;42;Ensino médio (2º Grau) completo;PHS
1100148;Não;Masculino;42;Ensino médio (2º Grau) completo;PP
1100155;Não;Masculino;38;Ensino médio (2º Grau) completo;PSDC
1100189;Não;Feminino;33;Ensino médio (2º Grau) completo;PSB
1100205;Não;Masculino;49;Pós-graduação;PSDB
1100254;Não;Masculino;42;Ensino superior completo ;PSDB
1100262;Não;Masculino;49;Ensino fundamental (1º Grau) incompleto;PR
1100288;Sim;Masculino;56;Ensino médio (2º Grau) completo;PSDB
1100296;Não;Masculino;65;Ensino médio (2º Grau) completo;PP
1100304;Não;Feminino;45;Ensino médio (2º Grau) completo;PMDB
1100320;Não;Masculino;52;Ensino médio (2º Grau) completo;DEM
1100338;Não;Masculino;40;Pós-graduação;PDT
1100346;Não;Masculino;55;Ensino superior completo ;PMDB
1100379;Não;Masculino;56;Ensino médio (2º Grau) completo;PMDB
1100403;Não;Feminino;44;Pós-graduação;PTB
1100452;Não;Masculino;42;Ensino médio (2º Grau) completo;PDT
1100502;Não;Masculino;40;Ensino superior completo ;PMDB
1100601;Não;Masculino;49;Ensino fundamental (1º Grau) completo;DEM
1100700;Sim;Masculino;55;Ensino superior completo ;PROS
1100809;Não;Masculino;34;Ensino superior incompleto ;DEM
1100908;Não;Masculino;43;Ensino superior completo ;PSDB
1100924;Não;Feminino;39;Ensino superior completo ;PV
1100940;Não;Masculino;43;Ensino médio (2º Grau) completo;PDT
1101005;Não;Masculino;51;Ensino médio (2º Grau) completo;PDT
1101104;Não;Masculino;44;Ensino médio (2º Grau) completo;PMDB
1101203;Sim;Masculino;45;Ensino médio (2º Grau) incompleto;PMDB
1101302;Não;Masculino;56;Ensino fundamental (1º Grau) incompleto;PMDB
1101401;Não;Masculino;40;Ensino superior incompleto ;DEM
1101435;Não;Masculino;54;Ensino médio (2º Grau) completo;PMDB
1101450;Sim;Masculino;44;Ensino médio (2º Grau) completo;PMDB
1101468;Não;Masculino;59;Ensino fundamental (1º Grau) completo;PTB
1101476;Não;Masculino;36;Ensino superior completo ;PMDB
1101484;Não;Masculino;30;Ensino médio (2º Grau) completo;PR
1101492;Sim;Feminino;36;Ensino superior completo ;PMDB
1101500;Não;Feminino;56;Ensino médio (2º Grau) completo;PDT
1101559;Sim;Masculino;60;Ensino fundamental (1º Grau) completo;PT
1101609;Não;Masculino;42;Ensino médio (2º Grau) completo;PMDB
1101708;Não;Masculino;45;Ensino fundamental (1º Grau) completo;PP
1101757;Não;Masculino;54;Ensino fundamental (1º Grau) completo;PP
1101807;Não;Masculino;49;Ensino superior incompleto ;PSDB
1200013;Não;Masculino;53;Ensino fundamental (1º Grau) incompleto;PSB
1200054;Não;Masculino;60;Ensino superior completo ;PSDB
1200104;Não;Feminino;35;Pós-graduação;PT
1200138;Não;Masculino;32;Ensino médio (2º Grau) completo;PC do B
1200179;Não;Masculino;47;Ensino médio (2º Grau) completo;PP
1200203;Não;Masculino;40;Ensino superior incompleto ;PMDB
1200252;Não;Masculino;55;Pós-graduação;PSB
1200302;Não;Masculino;49;Ensino superior completo ;PP
1200328;Sim;Masculino;41;Ensino médio (2º Grau) completo;PC do B
1200336;Não;Masculino;50;Ensino médio (2º Grau) completo;PT
1200344;Não;Masculino;49;Ensino médio (2º Grau) completo;PMDB
1200351;Não;Masculino;45;Ensino superior completo ;PMDB
1200385;Não;Masculino;48;Ensino médio (2º Grau) completo;PSDB
1200393;Sim;Masculino;53;Ensino fundamental (1º Grau) incompleto;PMDB
1200401;Sim;Masculino;40;Ensino superior completo ;PT
1200427;Não;Masculino;70;Ensino fundamental (1º Grau) incompleto;PMDB
1200435;Não;Masculino;52;Ensino médio (2º Grau) completo;PRP
1200450;Não;Masculino;39;Pós-graduação;PSD
1200500;Não;Masculino;48;Ensino médio (2º Grau) completo;PMDB
1200609;Não;Feminino;55;Pós-graduação;PSD
1200708;Não;Masculino;52;Ensino médio (2º Grau) completo;PT
1200807;Não;Masculino;55;Ensino médio (2º Grau) completo;PROS
1300029;Não;Masculino;50;Pós-graduação;PROS
1300060;Não;Masculino;70;Pós-graduação;PMDB
1300086;Não;Masculino;53;Ensino médio (2º Grau) completo;PMDB
1300102;Não;Masculino;39;Pós-graduação;PMDB
1300144;Não;Masculino;71;Ensino superior completo ;DEM
1300201;Sim;Masculino;48;Ensino fundamental (1º Grau) completo;PDT
1300300;Não;Masculino;37;Ensino superior completo ;PROS
1300409;Não;Masculino;46;Pós-graduação;PSB
1300508;Não;Masculino;36;Ensino superior incompleto ;PMDB
1300607;Não;Masculino;49;Ensino superior incompleto ;PR
1300631;Não;Feminino;46;Ensino médio (2º Grau) completo;PMDB
1300680;Não;Masculino;44;Ensino médio (2º Grau) completo;DEM
1300706;Não;Masculino;42;Ensino superior completo ;PSDB
1300805;Não;Masculino;34;Ensino médio (2º Grau) completo;SD
1300839;Não;Masculino;60;Ensino fundamental (1º Grau) incompleto;PMDB
1300904;Não;Masculino;40;Ensino médio (2º Grau) completo;PP
1301001;Não;Masculino;53;Ensino médio (2º Grau) completo;PMDB
1301100;Não;Masculino;40;Ensino médio (2º Grau) completo;PROS
1301159;Não;Masculino;61;Ensino superior incompleto ;PMDB
1301209;Não;Masculino;25;Ensino superior incompleto ;PP
1301308;Sim;Masculino;53;Ensino superior incompleto ;PSD
1301407;Não;Masculino;38;Ensino superior completo ;PROS
1301506;Sim;Masculino;48;Ensino superior completo ;PROS
1301605;Não;Masculino;59;Ensino superior completo ;PMDB
1301654;Não;Masculino;40;Ensino fundamental (1º Grau) completo;PR
1301704;Não;Masculino;54;Ensino superior completo ;PROS
1301803;Não;Feminino;48;Ensino médio (2º Grau) completo;PSDB
1301852;Não;Masculino;58;Ensino fundamental (1º Grau) incompleto;DEM
1301902;Não;Masculino;64;Ensino médio (2º Grau) completo;PT
1301951;Não;Masculino;47;Ensino superior completo ;DEM
1302009;Não;Feminino;39;Ensino superior completo ;PROS
1302108;Não;Feminino;53;Ensino superior completo ;PMDB
1302207;Não;Masculino;39;Ensino superior completo ;PMDB
1302306;Não;Masculino;36;Ensino superior incompleto ;PDT
1302405;Não;Masculino;40;Ensino médio (2º Grau) completo;PMDB
1302504;Não;Masculino;43;Ensino médio (2º Grau) completo;PROS
1302553;Não;Masculino;52;Ensino médio (2º Grau) incompleto;PMDB
1302603;Sim;Masculino;71;Pós-graduação;PSDB
